"2026-06-09 at 10:44"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2026-06-09	10:44:14	4.31741e2	1.48618e1	1.24300e1	5.15004e1	9.74315e1	9.1774349e-2	8.3440961e-2	1.2041184e1	7.5924196e-1	
2026-06-09	10:44:15	4.31609e2	1.48506e1	1.24202e1	5.14971e1	9.74424e1	9.1765403e-2	8.3405971e-2	1.2044541e1	7.6251416e-1	
2026-06-09	10:44:15	4.31567e2	1.48532e1	1.24220e1	5.14937e1	9.74374e1	9.1754856e-2	8.3412704e-2	1.2017685e1	7.5366621e-1	
2026-06-09	10:44:16	4.31922e2	1.48548e1	1.24231e1	5.14971e1	9.74339e1	9.1804866e-2	8.3415622e-2	1.2042863e1	7.5544457e-1	
2026-06-09	10:44:16	4.32182e2	1.48592e1	1.24293e1	5.15004e1	9.74445e1	9.1853981e-2	8.3440961e-2	1.2063004e1	7.6110291e-1	
2026-06-09	10:44:17	4.32210e2	1.48602e1	1.24292e1	5.14971e1	9.74370e1	9.1851530e-2	8.3439588e-2	1.2019363e1	7.5483317e-1	
2026-06-09	10:44:17	4.32120e2	1.48502e1	1.24181e1	5.14937e1	9.74315e1	9.1833114e-2	8.3396320e-2	1.2045381e1	7.5567841e-1	
2026-06-09	10:44:18	4.31811e2	1.48503e1	1.24189e1	5.14937e1	9.74359e1	9.1790494e-2	8.3400306e-2	1.2053773e1	7.6819701e-1	
2026-06-09	10:44:18	4.32161e2	1.48598e1	1.24299e1	5.14971e1	9.74442e1	9.1851177e-2	8.3443822e-2	1.2026077e1	7.5912628e-1	
2026-06-09	10:44:19	4.32161e2	1.48598e1	1.24299e1	5.14971e1	9.74442e1	9.1851177e-2	8.3443822e-2	1.2026077e1	7.5912628e-1	
2026-06-09	10:44:19	4.32108e2	1.48477e1	1.24155e1	5.14937e1	9.74317e1	9.1831502e-2	8.3386535e-2	1.2064683e1	7.6331949e-1	
2026-06-09	10:44:20	4.32664e2	1.48847e1	1.24566e1	5.14904e1	9.74522e1	9.1937007e-2	8.3549499e-2	1.2040345e1	7.5895566e-1	
2026-06-09	10:44:20	4.34060e2	1.49363e1	1.25091e1	5.14904e1	9.74507e1	9.2147941e-2	8.3752155e-2	1.2036988e1	7.4736680e-1	
2026-06-09	10:44:21	4.33397e2	1.49402e1	1.25123e1	5.14937e1	9.74457e1	9.2041969e-2	8.3762884e-2	1.2063844e1	7.6202507e-1	
2026-06-09	10:44:21	4.35446e2	1.49347e1	1.25423e1	5.14971e1	9.76737e1	9.2574777e-2	8.3923339e-2	1.2034471e1	7.4523758e-1	
2026-06-09	10:44:22	4.37015e2	1.49892e1	1.25611e1	5.14937e1	9.74382e1	9.2583065e-2	8.3949928e-2	1.2058808e1	7.5015754e-1	
2026-06-09	10:44:22	4.35051e2	1.50271e1	1.26005e1	5.14937e1	9.74445e1	9.2292547e-2	8.4103879e-2	1.2068879e1	7.6283955e-1	
2026-06-09	10:44:23	4.46997e2	1.55578e1	1.31305e1	5.14937e1	9.74427e1	9.4094638e-2	8.6174602e-2	1.1985794e1	7.5147967e-1	
2026-06-09	10:44:23	4.42149e2	1.54071e1	1.29808e1	5.14937e1	9.74377e1	9.3361196e-2	8.5585174e-2	1.2063004e1	7.6613397e-1	
2026-06-09	10:44:24	4.42149e2	1.54071e1	1.29808e1	5.14937e1	9.74377e1	9.3361196e-2	8.5585174e-2	1.2063004e1	7.6613397e-1	
2026-06-09	10:44:24	4.38204e2	1.52160e1	1.27899e1	5.14904e1	9.74372e1	9.2765092e-2	8.4839525e-2	1.2039506e1	7.5915355e-1	
2026-06-09	10:44:25	4.38477e2	1.51824e1	1.27551e1	5.14904e1	9.74302e1	9.2799072e-2	8.4702491e-2	1.2051255e1	7.5781297e-1	
2026-06-09	10:44:25	4.38234e2	1.51515e1	1.27243e1	5.14937e1	9.74324e1	9.2763481e-2	8.4582386e-2	1.2070558e1	7.6346454e-1	
2026-06-09	10:44:26	4.37334e2	1.51325e1	1.27064e1	5.14904e1	9.74400e1	9.2635393e-2	8.4514799e-2	1.2013489e1	7.5783090e-1	
2026-06-09	10:44:26	4.36936e2	1.51110e1	1.26846e1	5.14904e1	9.74392e1	9.2574234e-2	8.4429922e-2	1.2046220e1	7.4644713e-1	
2026-06-09	10:44:27	4.37377e2	1.50808e1	1.26545e1	5.15004e1	9.74422e1	9.2641468e-2	8.4311962e-2	1.2057130e1	7.6022100e-1	
2026-06-09	10:44:27	4.37067e2	1.50636e1	1.26381e1	5.14971e1	9.74487e1	9.2601480e-2	8.4250211e-2	1.2012649e1	7.5127339e-1	
2026-06-09	10:44:28	4.36879e2	1.50573e1	1.26297e1	5.14971e1	9.74355e1	9.2560052e-2	8.4214744e-2	1.2050416e1	7.5185737e-1	
2026-06-09	10:44:28	4.36553e2	1.50362e1	1.26087e1	5.14971e1	9.74380e1	9.2512845e-2	8.4133920e-2	1.2047898e1	7.6240682e-1	
2026-06-09	10:44:29	4.35877e2	1.50164e1	1.25884e1	5.14971e1	9.74367e1	9.2409191e-2	8.4055004e-2	1.2019363e1	7.5485925e-1	
2026-06-09	10:44:29	4.35513e2	1.49900e1	1.25612e1	5.14937e1	9.74342e1	9.2352094e-2	8.3949804e-2	1.2048738e1	7.6434922e-1	
2026-06-09	10:44:30	4.35513e2	1.49900e1	1.25612e1	5.14937e1	9.74342e1	9.2352094e-2	8.3949804e-2	1.2048738e1	7.6434922e-1	
2026-06-09	10:44:30	4.35582e2	1.49843e1	1.25566e1	5.14904e1	9.74424e1	9.2371101e-2	8.3934307e-2	1.2021881e1	7.6051239e-1	
2026-06-09	10:44:31	4.35667e2	1.49769e1	1.25471e1	5.14970e1	9.74294e1	9.2369918e-2	8.3893775e-2	1.2020202e1	7.5992255e-1	
2026-06-09	10:44:31	4.35390e2	1.49612e1	1.25309e1	5.15037e1	9.74277e1	9.2324733e-2	8.3829402e-2	1.2040345e1	7.6045465e-1	
2026-06-09	10:44:32	4.34626e2	1.49479e1	1.25195e1	5.14971e1	9.74422e1	9.2224302e-2	8.3789529e-2	1.2048738e1	7.4296712e-1	
2026-06-09	10:44:32	4.34755e2	1.49371e1	1.25090e1	5.14937e1	9.74450e1	9.2247066e-2	8.3750009e-2	1.2063004e1	7.5665116e-1	
2026-06-09	10:44:33	4.34755e2	1.49371e1	1.25090e1	5.14937e1	9.74450e1	9.2247066e-2	8.3750009e-2	1.2063004e1	7.5665116e-1	
2026-06-09	10:44:33	4.34462e2	1.49262e1	1.24990e1	5.14937e1	9.74517e1	9.2209157e-2	8.3712520e-2	1.2003418e1	7.4783015e-1	
2026-06-09	10:44:34	4.34392e2	1.49141e1	1.24848e1	5.14937e1	9.74400e1	9.2186985e-2	8.3655414e-2	1.2035310e1	7.5201134e-1	
2026-06-09	10:44:34	4.34184e2	1.49098e1	1.24809e1	5.14937e1	9.74437e1	9.2158975e-2	8.3641290e-2	1.2060487e1	7.5970983e-1	
2026-06-09	10:44:35	4.33913e2	1.49052e1	1.24754e1	5.14904e1	9.74384e1	9.2113380e-2	8.3619537e-2	1.1999221e1	7.5089006e-1	
2026-06-09	10:44:35	4.33928e2	1.49034e1	1.24732e1	5.14904e1	9.74365e1	9.2113790e-2	8.3610715e-2	1.2034471e1	7.5998888e-1	
2026-06-09	10:44:36	4.33946e2	1.48942e1	1.24647e1	5.14937e1	9.74419e1	9.2121067e-2	8.3578290e-2	1.2063004e1	7.6148815e-1	
2026-06-09	10:44:36	4.33711e2	1.48914e1	1.24611e1	5.14904e1	9.74370e1	9.2081184e-2	8.3563804e-2	1.2014328e1	7.5359792e-1	
2026-06-09	10:44:37	4.33610e2	1.49008e1	1.24703e1	5.14971e1	9.74345e1	9.2062110e-2	8.3597774e-2	1.2055451e1	7.5831313e-1	
2026-06-09	10:44:37	4.33710e2	1.48919e1	1.24621e1	5.14971e1	9.74402e1	9.2082862e-2	8.3567323e-2	1.2058808e1	7.6326780e-1	
2026-06-09	10:44:38	4.33335e2	1.48780e1	1.24476e1	5.14937e1	9.74384e1	9.2024745e-2	8.3511466e-2	1.2011810e1	7.5471220e-1	
2026-06-09	10:44:38	4.33482e2	1.48723e1	1.24406e1	5.14971e1	9.74315e1	9.2039527e-2	8.3482685e-2	1.2044541e1	7.6162223e-1	
2026-06-09	10:44:39	4.33871e2	1.48660e1	1.24343e1	5.14971e1	9.74320e1	9.2098894e-2	8.3458366e-2	1.2036988e1	7.6928701e-1	
2026-06-09	10:44:39	4.33915e2	1.48758e1	1.24449e1	5.14971e1	9.74357e1	9.2109384e-2	8.3499965e-2	1.2005096e1	7.5984244e-1	
2026-06-09	10:44:40	4.33915e2	1.48758e1	1.24449e1	5.14971e1	9.74357e1	9.2109384e-2	8.3499965e-2	1.2005096e1	7.5984244e-1	
2026-06-09	10:44:40	4.33614e2	1.48740e1	1.24421e1	5.14904e1	9.74292e1	9.2058715e-2	8.3488941e-2	1.2057130e1	7.6373143e-1	
2026-06-09	10:44:41	4.33086e2	1.48648e1	1.24338e1	5.14971e1	9.74370e1	9.1984691e-2	8.3457469e-2	1.1994186e1	7.5854067e-1	
2026-06-09	10:44:41	4.33666e2	1.48541e1	1.24215e1	5.15004e1	9.74279e1	9.2063064e-2	8.3407459e-2	1.2063844e1	7.5975728e-1	
2026-06-09	10:44:42	4.33234e2	1.48547e1	1.24231e1	5.14971e1	9.74345e1	9.2004594e-2	8.3415622e-2	1.2056291e1	7.6725144e-1	
2026-06-09	10:44:42	4.33010e2	1.48579e1	1.24276e1	5.14971e1	9.74422e1	9.1978187e-2	8.3434467e-2	1.2031114e1	7.5893883e-1	
2026-06-09	10:44:43	4.33010e2	1.48579e1	1.24276e1	5.14971e1	9.74422e1	9.1978187e-2	8.3434467e-2	1.2031114e1	7.5893883e-1	
2026-06-09	10:44:43	4.33585e2	1.48483e1	1.24163e1	5.14937e1	9.74329e1	9.2056989e-2	8.3389940e-2	1.2024399e1	7.5623588e-1	
2026-06-09	10:44:44	4.33333e2	1.48465e1	1.24161e1	5.14971e1	9.74432e1	9.2027959e-2	8.3390235e-2	1.2043702e1	7.5510339e-1	
2026-06-09	10:44:44	4.33376e2	1.48523e1	1.24216e1	5.14971e1	9.74400e1	9.2031421e-2	8.3410797e-2	1.2052934e1	7.4628825e-1	
2026-06-09	10:44:45	4.33252e2	1.48461e1	1.24159e1	5.15004e1	9.74442e1	9.2015981e-2	8.3389043e-2	1.2070558e1	7.6074218e-1	
2026-06-09	10:44:45	4.33142e2	1.48415e1	1.24123e1	5.14971e1	9.74517e1	9.2007217e-2	8.3377418e-2	1.2006775e1	7.4635672e-1	
2026-06-09	10:44:46	4.33142e2	1.48415e1	1.24123e1	5.14971e1	9.74517e1	9.2007217e-2	8.3377418e-2	1.2006775e1	7.4635672e-1	
2026-06-09	10:44:46	4.32908e2	1.48387e1	1.24085e1	5.14971e1	9.74455e1	9.1965560e-2	8.3361511e-2	1.2063004e1	7.5519280e-1	
2026-06-09	10:44:47	4.33261e2	1.48365e1	1.24052e1	5.15004e1	9.74394e1	9.2012701e-2	8.3347082e-2	1.2068040e1	7.6245212e-1	
2026-06-09	10:44:47	4.33451e2	1.48439e1	1.24132e1	5.14937e1	9.74422e1	9.2045545e-2	8.3379688e-2	1.2027755e1	7.4656324e-1	
2026-06-09	10:44:48	4.33443e2	1.48298e1	1.23998e1	5.14971e1	9.74487e1	9.2049894e-2	8.3328838e-2	1.2028595e1	7.5346555e-1	
2026-06-09	10:44:48	4.34133e2	1.48522e1	1.24249e1	5.14971e1	9.74625e1	9.2168216e-2	8.3428087e-2	1.2036988e1	7.5012063e-1	
2026-06-09	10:44:49	4.34133e2	1.48522e1	1.24249e1	5.14971e1	9.74625e1	9.2168216e-2	8.3428087e-2	1.2036988e1	7.5012063e-1	
2026-06-09	10:44:49	4.33523e2	1.48979e1	1.24721e1	5.14971e1	9.74650e1	9.2078685e-2	8.3610773e-2	1.2056291e1	7.6415467e-1	
2026-06-09	10:44:50	4.34731e2	1.48797e1	1.24492e1	5.14971e1	9.74374e1	9.2234849e-2	8.3516712e-2	1.2054612e1	7.5028743e-1	
2026-06-09	10:44:50	4.46716e2	1.52709e1	1.28458e1	5.14971e1	9.74427e1	9.4048385e-2	8.5057373e-2	1.2062165e1	7.6279087e-1	
2026-06-09	10:44:51	4.68064e2	1.59093e1	1.34731e1	5.14937e1	9.74437e1	9.7212553e-2	8.7531566e-2	1.2026916e1	7.5598421e-1	
2026-06-09	10:44:51	4.59967e2	1.57695e1	1.33357e1	5.14904e1	9.74315e1	9.6011276e-2	8.6983976e-2	1.2042863e1	7.5650444e-1	
2026-06-09	10:44:52	4.59967e2	1.57695e1	1.33357e1	5.14904e1	9.74315e1	9.6011276e-2	8.6983976e-2	1.2042863e1	7.5650444e-1	
2026-06-09	10:44:52	4.45302e2	1.52945e1	1.28681e1	5.14937e1	9.74345e1	9.3829631e-2	8.5143384e-2	1.2048738e1	7.6544165e-1	
2026-06-09	10:44:53	4.41464e2	1.51471e1	1.27203e1	5.14904e1	9.74352e1	9.3253431e-2	8.4568023e-2	1.2056291e1	7.5491008e-1	
2026-06-09	10:44:53	4.41306e2	1.51158e1	1.26888e1	5.14937e1	9.74349e1	9.3228340e-2	8.4444761e-2	1.2056291e1	7.6493682e-1	
2026-06-09	10:44:54	4.41238e2	1.51032e1	1.26767e1	5.14904e1	9.74394e1	9.3223094e-2	8.4399280e-2	1.1999221e1	7.5473642e-1	
2026-06-09	10:44:54	4.41238e2	1.51032e1	1.26767e1	5.14904e1	9.74394e1	9.3223094e-2	8.4399280e-2	1.1999221e1	7.5473642e-1	
2026-06-09	10:44:55	4.40384e2	1.50811e1	1.26537e1	5.14937e1	9.74352e1	9.3089342e-2	8.4308624e-2	1.2060487e1	7.5464353e-1	
2026-06-09	10:44:55	4.39711e2	1.50524e1	1.26251e1	5.14971e1	9.74374e1	9.2989330e-2	8.4197282e-2	1.2063004e1	7.6230721e-1	
2026-06-09	10:44:56	4.38667e2	1.50131e1	1.25849e1	5.14904e1	9.74359e1	9.2831249e-2	8.4042491e-2	1.2052094e1	7.5213937e-1	
2026-06-09	10:44:56	4.38210e2	1.49922e1	1.25648e1	5.14937e1	9.74429e1	9.2768306e-2	8.3965415e-2	1.2058808e1	7.6183166e-1	
2026-06-09	10:44:57	4.38110e2	1.49800e1	1.25519e1	5.14904e1	9.74400e1	9.2750730e-2	8.3915414e-2	1.2026077e1	7.5691900e-1	
2026-06-09	10:44:57	4.37806e2	1.49677e1	1.25379e1	5.14871e1	9.74302e1	9.2695894e-2	8.3859806e-2	1.2050416e1	7.5421104e-1	
2026-06-09	10:44:58	4.37806e2	1.49677e1	1.25379e1	5.14871e1	9.74302e1	9.2695894e-2	8.3859806e-2	1.2050416e1	7.5421104e-1	
2026-06-09	10:44:58	4.37214e2	1.49528e1	1.25245e1	5.14904e1	9.74417e1	9.2616920e-2	8.3809671e-2	1.1987472e1	7.5448923e-1	
2026-06-09	10:44:59	4.37530e2	1.49431e1	1.25133e1	5.14904e1	9.74332e1	9.2656135e-2	8.3764915e-2	1.2051255e1	7.5048513e-1	
2026-06-09	10:44:59	4.37530e2	1.49431e1	1.25133e1	5.14904e1	9.74332e1	9.2656135e-2	8.3764915e-2	1.2051255e1	7.5048513e-1	
2026-06-09	10:45:00	4.35461e2	1.49228e1	1.24941e1	5.14971e1	9.74429e1	9.2351322e-2	8.3691482e-2	1.2018524e1	7.4970169e-1	
2026-06-09	10:45:00	4.35461e2	1.49228e1	1.24941e1	5.14971e1	9.74429e1	9.2351322e-2	8.3691482e-2	1.2018524e1	7.4970169e-1	
2026-06-09	10:45:01	4.34605e2	1.49109e1	1.24814e1	5.15004e1	9.74397e1	9.2217559e-2	8.3641109e-2	1.2059648e1	7.5461206e-1	
2026-06-09	10:45:01	4.35267e2	1.49059e1	1.24759e1	5.14971e1	9.74365e1	9.2315254e-2	8.3619594e-2	1.2063004e1	7.6263046e-1	
2026-06-09	10:45:02	4.35495e2	1.49314e1	1.25008e1	5.14904e1	9.74292e1	9.2344341e-2	8.3715553e-2	1.2058808e1	7.5947375e-1	
2026-06-09	10:45:02	4.35594e2	1.48898e1	1.24587e1	5.14904e1	9.74322e1	9.2361869e-2	8.3553848e-2	1.2035310e1	7.6509084e-1	
2026-06-09	10:45:03	4.35249e2	1.48513e1	1.24208e1	5.14971e1	9.74419e1	9.2317285e-2	8.3408412e-2	1.2026916e1	7.5732011e-1	
2026-06-09	10:45:03	4.35233e2	1.48491e1	1.24171e1	5.15037e1	9.74327e1	9.2304525e-2	8.3390951e-2	1.2020202e1	7.5908370e-1	
2026-06-09	10:45:04	4.35233e2	1.48491e1	1.24171e1	5.15037e1	9.74327e1	9.2304525e-2	8.3390951e-2	1.2020202e1	7.5908370e-1	
2026-06-09	10:45:04	4.34436e2	1.48635e1	1.24330e1	5.14971e1	9.74400e1	9.2192287e-2	8.3455028e-2	1.2057969e1	7.5880808e-1	
2026-06-09	10:45:05	4.34436e2	1.48635e1	1.24330e1	5.14971e1	9.74400e1	9.2192287e-2	8.3455028e-2	1.2057969e1	7.5880808e-1	
2026-06-09	10:45:05	4.34966e2	1.48513e1	1.24202e1	5.14937e1	9.74380e1	9.2271213e-2	8.3405675e-2	1.2072236e1	7.5686020e-1	
2026-06-09	10:45:06	4.34953e2	1.48507e1	1.24219e1	5.14871e1	9.74527e1	9.2284975e-2	8.3416280e-2	1.1984955e1	7.5377578e-1	
2026-06-09	10:45:06	4.34953e2	1.48507e1	1.24219e1	5.14871e1	9.74527e1	9.2284975e-2	8.3416280e-2	1.1984955e1	7.5377578e-1	
2026-06-09	10:45:07	4.35059e2	1.48524e1	1.24212e1	5.14904e1	9.74372e1	9.2285270e-2	8.3410148e-2	1.2051255e1	7.4927182e-1	
2026-06-09	10:45:07	4.35044e2	1.48504e1	1.24200e1	5.14937e1	9.74427e1	9.2287654e-2	8.3405790e-2	1.2057130e1	7.6179094e-1	
2026-06-09	10:45:08	4.35479e2	1.48515e1	1.24198e1	5.14971e1	9.74339e1	9.2344284e-2	8.3402748e-2	1.2064683e1	7.5638599e-1	
2026-06-09	10:45:08	4.35479e2	1.48515e1	1.24198e1	5.14971e1	9.74339e1	9.2344284e-2	8.3402748e-2	1.2064683e1	7.5638599e-1	
2026-06-09	10:45:09	4.35399e2	1.48448e1	1.24135e1	5.14937e1	9.74377e1	9.2336473e-2	8.3379802e-2	1.2021881e1	7.5673527e-1	
2026-06-09	10:45:09	4.35399e2	1.48448e1	1.24135e1	5.14937e1	9.74377e1	9.2336473e-2	8.3379802e-2	1.2021881e1	7.5673527e-1	
2026-06-09	10:45:10	4.35545e2	1.48390e1	1.24064e1	5.14904e1	9.74307e1	9.2352390e-2	8.3351907e-2	1.2042863e1	7.5698618e-1	
2026-06-09	10:45:10	4.35201e2	1.48476e1	1.24172e1	5.14904e1	9.74432e1	9.2312574e-2	8.3395957e-2	1.2009292e1	7.5232248e-1	
2026-06-09	10:45:11	4.35701e2	1.48391e1	1.24073e1	5.14904e1	9.74357e1	9.2380819e-2	8.3356266e-2	1.2074754e1	7.5147624e-1	
2026-06-09	10:45:11	4.35596e2	1.48371e1	1.24055e1	5.14971e1	9.74370e1	9.2364845e-2	8.3348217e-2	1.2061326e1	7.6193852e-1	
2026-06-09	10:45:12	4.35666e2	1.48368e1	1.24061e1	5.15004e1	9.74427e1	9.2380342e-2	8.3351135e-2	1.1983276e1	7.5180363e-1	
2026-06-09	10:45:12	4.36178e2	1.48327e1	1.24002e1	5.15004e1	9.74320e1	9.2447280e-2	8.3326225e-2	1.2069718e1	7.5071554e-1	
2026-06-09	10:45:13	4.36178e2	1.48327e1	1.24002e1	5.15004e1	9.74320e1	9.2447280e-2	8.3326225e-2	1.2069718e1	7.5071554e-1	
2026-06-09	10:45:13	4.35896e2	1.48356e1	1.24038e1	5.15004e1	9.74362e1	9.2408838e-2	8.3340940e-2	1.2005935e1	7.5682168e-1	
2026-06-09	10:45:14	4.35733e2	1.48353e1	1.24024e1	5.14970e1	9.74289e1	9.2377719e-2	8.3334684e-2	1.2062165e1	7.5966978e-1	
2026-06-09	10:45:14	4.35778e2	1.48360e1	1.24026e1	5.14937e1	9.74262e1	9.2382488e-2	8.3335819e-2	1.2045381e1	7.6733379e-1	
2026-06-09	10:45:15	4.35778e2	1.48360e1	1.24026e1	5.14937e1	9.74262e1	9.2382488e-2	8.3335819e-2	1.2045381e1	7.6733379e-1	
2026-06-09	10:45:15	4.36053e2	1.48405e1	1.24080e1	5.14971e1	9.74310e1	9.2428092e-2	8.3356914e-2	1.2045381e1	7.5670547e-1	
2026-06-09	10:45:16	4.36053e2	1.48405e1	1.24080e1	5.14971e1	9.74310e1	9.2428092e-2	8.3356914e-2	1.2045381e1	7.5670547e-1	
2026-06-09	10:45:16	4.35935e2	1.48323e1	1.23999e1	5.14971e1	9.74329e1	9.2412109e-2	8.3326101e-2	1.2040345e1	7.6178741e-1	
2026-06-09	10:45:17	4.36204e2	1.48281e1	1.23967e1	5.14937e1	9.74400e1	9.2460336e-2	8.3315734e-2	1.2057130e1	7.4354543e-1	
2026-06-09	10:45:17	4.35786e2	1.48270e1	1.23964e1	5.14937e1	9.74457e1	9.2402639e-2	8.3315734e-2	1.2067201e1	7.5792026e-1	
2026-06-09	10:45:18	4.36370e2	1.48293e1	1.24012e1	5.14937e1	9.74607e1	9.2505693e-2	8.3337068e-2	1.1986633e1	7.4939336e-1	
2026-06-09	10:45:18	4.36360e2	1.48164e1	1.23838e1	5.14971e1	9.74345e1	9.2477741e-2	8.3264293e-2	1.2052094e1	7.5262107e-1	
2026-06-09	10:45:19	4.36360e2	1.48164e1	1.23838e1	5.14971e1	9.74345e1	9.2477741e-2	8.3264293e-2	1.2052094e1	7.5262107e-1	
2026-06-09	10:45:19	4.34318e2	1.48281e1	1.23965e1	5.15004e1	9.74382e1	9.2171611e-2	8.3313169e-2	1.2062165e1	7.6660165e-1	
2026-06-09	10:45:20	4.39343e2	1.48491e1	1.24164e1	5.14971e1	9.74279e1	9.2921972e-2	8.3388624e-2	1.2066361e1	7.5776576e-1	
2026-06-09	10:45:20	4.39343e2	1.48491e1	1.24164e1	5.14971e1	9.74279e1	9.2921972e-2	8.3388624e-2	1.2066361e1	7.5776576e-1	
2026-06-09	10:45:21	4.36403e2	1.48821e1	1.24501e1	5.14971e1	9.74270e1	9.2477684e-2	8.3518142e-2	1.2033631e1	7.6406822e-1	
2026-06-09	10:45:21	4.48250e2	1.55227e1	1.30957e1	5.14904e1	9.74415e1	9.4280776e-2	8.6037998e-2	1.2020202e1	7.5912308e-1	
2026-06-09	10:45:22	4.51046e2	1.57990e1	1.33645e1	5.14971e1	9.74322e1	9.4690141e-2	8.7096986e-2	1.2018524e1	7.5952157e-1	
2026-06-09	10:45:22	4.42276e2	1.53175e1	1.28897e1	5.14937e1	9.74260e1	9.3367691e-2	8.5226297e-2	1.2035310e1	7.6164793e-1	
